Year,Region,Education level,Percentage
2021,Northern Territory,Tertiary Educational Attainment,0.474
2016,Northern Territory,Tertiary Educational Attainment,0.408
2017,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.085
2018,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.102
2019,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.08
2020,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.078
2021,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.105
2016,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.112
2020,Northern Territory,Doctoral Educational Attainment,0.008
2017,Northern Territory,Doctoral Educational Attainment,0
2021,Northern Territory,Doctoral Educational Attainment,0.011
2016,Northern Territory,Doctoral Educational Attainment,0.006
2020,Northern Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.118
2021,Northern Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.144
2018,Northern Territory,Master's Educational Attainment,0.055
2016,Northern Territory,Bachelor's Educational Attainment,0.244
2019,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.323
2020,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.299
2017,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.134
2018,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.083
2019,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.102
2020,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.072
2017,Australian Capital Territory,Bachelor's Educational Attainment,0.355
2018,Australian Capital Territory,Bachelor's Educational Attainment,0.441
2019,Australian Capital Territory,Bachelor's Educational Attainment,0.403
2020,Australian Capital Territory,Bachelor's Educational Attainment,0.36
2021,Australian Capital Territory,Bachelor's Educational Attainment,0.413
2016,Australian Capital Territory,Bachelor's Educational Attainment,0.402
2017,Australian Capital Territory,Master's Educational Attainment,0.129
2018,Australian Capital Territory,Master's Educational Attainment,0.148
2019,Australian Capital Territory,Master's Educational Attainment,0.103
2020,Australian Capital Territory,Master's Educational Attainment,0.18
2021,Australian Capital Territory,Master's Educational Attainment,0.115
2016,Australian Capital Territory,Master's Educational Attainment,0.118
2017,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.347
2018,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.273
2021,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.269
2016,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.311
2016,Australian Capital Territory,Doctoral Educational Attainment,0
2018,Australian Capital Territory,Doctoral Educational Attainment,0.016
2019,Australian Capital Territory,Doctoral Educational Attainment,0.019
2020,Australian Capital Territory,Doctoral Educational Attainment,0.039
2021,Australian Capital Territory,Doctoral Educational Attainment,0.022
2017,Australian Capital Territory,Doctoral Educational Attainment,0
2017,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.057
2018,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.046
2019,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.045
2020,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.086
2021,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.066
2016,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.059
2017,Australian Capital Territory,Tertiary Educational Attainment,0.596
2018,Australian Capital Territory,Tertiary Educational Attainment,0.692
2019,Australian Capital Territory,Tertiary Educational Attainment,0.632
2020,Australian Capital Territory,Tertiary Educational Attainment,0.641
2021,Australian Capital Territory,Tertiary Educational Attainment,0.646
2016,Australian Capital Territory,Tertiary Educational Attainment,0.63
2021,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.066
2016,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.114
