Year,Region,Education level,Percentage
2018,South Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.367
2019,Queensland,Short-Cycle Tertiary Educational Attainment,0.117
2018,Queensland,Short-Cycle Tertiary Educational Attainment,0.115
2017,Queensland,Short-Cycle Tertiary Educational Attainment,0.111
2016,Queensland,Short-Cycle Tertiary Educational Attainment,0.115
2021,Queensland,Short-Cycle Tertiary Educational Attainment,0.112
2018,Western Australia,Tertiary Educational Attainment,0.444
2017,Western Australia,Tertiary Educational Attainment,0.427
2016,Western Australia,Tertiary Educational Attainment,0.423
2021,Western Australia,Tertiary Educational Attainment,0.441
2019,Tasmania,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.247
2018,Tasmania,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.265
2017,Tasmania,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.278
2016,Tasmania,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.31
2021,Tasmania,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.219
2020,Tasmania,Short-Cycle Tertiary Educational Attainment,0.093
2017,New South Wales,Bachelor's Educational Attainment,0.272
2020,Victoria,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.149
2017,South Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.378
2020,Queensland,Short-Cycle Tertiary Educational Attainment,0.109
2020,Queensland,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.4
2020,Tasmania,Tertiary Educational Attainment,0.388
2020,South Australia,Short-Cycle Tertiary Educational Attainment,0.105
2020,South Australia,Doctoral Educational Attainment,0.013
2020,Queensland,Tertiary Educational Attainment,0.435
2020,New South Wales,Doctoral Educational Attainment,0.017
2020,South Australia,Tertiary Educational Attainment,0.399
2020,Tasmania,Bachelor's Educational Attainment,0.215
2019,Queensland,Bachelor's Educational Attainment,0.224
2020,New South Wales,Short-Cycle Tertiary Educational Attainment,0.12
2020,New South Wales,Tertiary Educational Attainment,0.518
2020,Western Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.176
2020,South Australia,Master's Educational Attainment,0.06
2020,New South Wales,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.159
2020,Western Australia,Doctoral Educational Attainment,0.012
2021,New South Wales,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.316
2021,Victoria,Short-Cycle Tertiary Educational Attainment,0.109
2020,Victoria,Master's Educational Attainment,0.104
2020,Victoria,Doctoral Educational Attainment,0.02
2020,Western Australia,Tertiary Educational Attainment,0.459
2020,Tasmania,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.245
2020,South Australia,Bachelor's Educational Attainment,0.223
2020,Western Australia,Master's Educational Attainment,0.068
2020,New South Wales,Master's Educational Attainment,0.095
2020,South Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.212
2020,Victoria,Tertiary Educational Attainment,0.549
2020,Victoria,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.301
2020,Queensland,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.167
2020,Tasmania,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.369
2016,New South Wales,Short-Cycle Tertiary Educational Attainment,0.119
2021,New South Wales,Short-Cycle Tertiary Educational Attainment,0.112
2019,New South Wales,Tertiary Educational Attainment,0.502
2018,New South Wales,Tertiary Educational Attainment,0.489
2017,New South Wales,Tertiary Educational Attainment,0.478
2016,New South Wales,Tertiary Educational Attainment,0.473
2021,New South Wales,Tertiary Educational Attainment,0.525
2019,Western Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.201
2018,Western Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.177
2017,Western Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.188
2021,Western Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.379
2020,Queensland,Doctoral Educational Attainment,0.017
2020,Victoria,Bachelor's Educational Attainment,0.298
2020,Tasmania,Master's Educational Attainment,0.056
2019,Western Australia,Bachelor's Educational Attainment,0.234
2020,Queensland,Master's Educational Attainment,0.061
2020,Western Australia,Short-Cycle Tertiary Educational Attainment,0.119
2019,Queensland,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.412
2018,Queensland,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.419
2017,Queensland,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.402
2016,Queensland,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.42
2021,Queensland,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.405
2019,Tasmania,Tertiary Educational Attainment,0.4
2018,Tasmania,Tertiary Educational Attainment,0.347
2017,Tasmania,Tertiary Educational Attainment,0.343
2016,Tasmania,Tertiary Educational Attainment,0.334
2021,Tasmania,Tertiary Educational Attainment,0.396
2019,South Australia,Short-Cycle Tertiary Educational Attainment,0.102
2018,South Australia,Short-Cycle Tertiary Educational Attainment,0.111
2017,South Australia,Short-Cycle Tertiary Educational Attainment,0.109
2016,South Australia,Short-Cycle Tertiary Educational Attainment,0.114
2021,South Australia,Short-Cycle Tertiary Educational Attainment,0.1
2016,Northern Territory,Tertiary Educational Attainment,0.387
2017,Northern Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.191
2018,Northern Territory,Tertiary Educational Attainment,0.406
2019,Northern Territory,Tertiary Educational Attainment,0.466
2016,Northern Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.415
2017,Northern Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.414
2019,Northern Territory,Master's Educational Attainment,0.087
2020,Northern Territory,Master's Educational Attainment,0.099
2021,Northern Territory,Master's Educational Attainment,0.075
2016,Northern Territory,Master's Educational Attainment,0.042
2017,Northern Territory,Bachelor's Educational Attainment,0.214
2018,Northern Territory,Bachelor's Educational Attainment,0.239
2019,Northern Territory,Bachelor's Educational Attainment,0.245
2020,Northern Territory,Bachelor's Educational Attainment,0.244
2018,Northern Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.381
2017,Northern Territory,Master's Educational Attainment,0.065
2017,Northern Territory,Tertiary Educational Attainment,0.395
2018,Northern Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.21
2019,Northern Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.204
2020,Northern Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.163
2021,Northern Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.168
2016,Northern Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.197
2017,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.114
2018,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.113
2019,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.113
2020,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.1
2021,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.108
2016,Northern Territory,Short-Cycle Tertiary Educational Attainment,0.124
2017,Northern Territory,Doctoral Educational Attainment,0.004
2018,Northern Territory,Doctoral Educational Attainment,0.004
2019,Northern Territory,Doctoral Educational Attainment,0.021
2020,Northern Territory,Doctoral Educational Attainment,0.012
2021,Northern Territory,Doctoral Educational Attainment,0.014
2016,Northern Territory,Doctoral Educational Attainment,0.012
2019,Northern Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.332
2020,Northern Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.387
2021,Northern Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.361
2020,Northern Territory,Tertiary Educational Attainment,0.454
2021,Northern Territory,Tertiary Educational Attainment,0.45
2018,Northern Territory,Master's Educational Attainment,0.049
2021,Northern Territory,Bachelor's Educational Attainment,0.255
2016,Northern Territory,Bachelor's Educational Attainment,0.212
2016,Australian Capital Territory,Tertiary Educational Attainment,0.623
2016,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.128
2018,Australian Capital Territory,Tertiary Educational Attainment,0.662
2019,Australian Capital Territory,Tertiary Educational Attainment,0.625
2019,Australian Capital Territory,Master's Educational Attainment,0.126
2020,Australian Capital Territory,Master's Educational Attainment,0.144
2021,Australian Capital Territory,Master's Educational Attainment,0.162
2016,Australian Capital Territory,Master's Educational Attainment,0.135
2020,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.107
2021,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.104
2017,Australian Capital Territory,Tertiary Educational Attainment,0.608
2017,Australian Capital Territory,Doctoral Educational Attainment,0.027
2018,Australian Capital Territory,Doctoral Educational Attainment,0.044
2019,Australian Capital Territory,Doctoral Educational Attainment,0.036
2020,Australian Capital Territory,Doctoral Educational Attainment,0.042
2021,Australian Capital Territory,Doctoral Educational Attainment,0.04
2016,Australian Capital Territory,Doctoral Educational Attainment,0.019
2020,Australian Capital Territory,Tertiary Educational Attainment,0.628
2021,Australian Capital Territory,Tertiary Educational Attainment,0.657
2018,Australian Capital Territory,Master's Educational Attainment,0.138
2017,Australian Capital Territory,Master's Educational Attainment,0.13
2017,Australian Capital Territory,Bachelor's Educational Attainment,0.321
2018,Australian Capital Territory,Bachelor's Educational Attainment,0.354
2019,Australian Capital Territory,Bachelor's Educational Attainment,0.342
2020,Australian Capital Territory,Bachelor's Educational Attainment,0.345
2021,Australian Capital Territory,Bachelor's Educational Attainment,0.349
2016,Australian Capital Territory,Bachelor's Educational Attainment,0.34
2017,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.296
2018,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.266
2019,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.285
2020,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.297
2021,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.245
2016,Australian Capital Territory,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.274
2017,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.096
2018,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.076
2019,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.089
2020,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.075
2021,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.091
2016,Australian Capital Territory,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.102
2017,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.127
2018,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.128
2019,Australian Capital Territory,Short-Cycle Tertiary Educational Attainment,0.12
